[2023-02-11 16:06:46,942][torch.distributed.nn.jit.instantiator][INFO] - Created a temporary directory at /tmp/tmp9hvecin0
[2023-02-11 16:06:46,943][torch.distributed.nn.jit.instantiator][INFO] - Writing /tmp/tmp9hvecin0/_remote_module_non_sriptable.py
[2023-02-11 16:06:47,171][__main__][INFO] - Searching /home/goroyeh/GKT/segmentation/logs.
[2023-02-11 16:06:54,003][torch.distributed.distributed_c10d][INFO] - Added key: store_based_barrier_key:1 to store for rank: 0
[2023-02-11 16:06:54,003][torch.distributed.distributed_c10d][INFO] - Rank 0: Completed store-based barrier for key:store_based_barrier_key:1 with 4 nodes.
[2023-02-11 16:06:58,485][cross_view_transformer.tabular_logger][WARNING] - Missing logger folder: /home/goroyeh/GKT/segmentation/logs/lightning_logs
[2023-02-11 16:11:43,017][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.016178, train/loss/visible_step:0.016074, train/loss/center_step:0.001040, epoch:0, step:1549
[2023-02-11 16:11:51,809][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.014182, train/loss/visible_step:0.014080, train/loss/center_step:0.001023, epoch:0, step:1599
[2023-02-11 16:12:00,606][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.014316, train/loss/visible_step:0.014215, train/loss/center_step:0.001017, epoch:0, step:1649
[2023-02-11 16:12:09,344][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.017286, train/loss/visible_step:0.017186, train/loss/center_step:0.001003, epoch:0, step:1699
[2023-02-11 16:12:18,180][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.019915, train/loss/visible_step:0.019815, train/loss/center_step:0.001000, epoch:0, step:1749
[2023-02-11 16:12:52,048][cross_view_transformer.tabular_logger][INFO] - train/metrics/iou@0.40:0.189906, train/metrics/iou@0.50:0.108326, train/metrics/iou_with_occlusions@0.40:0.172251, train/metrics/iou_with_occlusions@0.50:0.084494, val/loss:0.013959, val/loss/visible:0.013874, val/loss/center:0.000854, val/metrics/iou@0.40:0.211253, val/metrics/iou@0.50:0.131038, val/metrics/iou_with_occlusions@0.40:0.178135, val/metrics/iou_with_occlusions@0.50:0.102471, epoch:0, step:1758
[2023-02-11 16:12:52,076][cross_view_transformer.tabular_logger][INFO] - train/loss_epoch:0.017209, train/loss/visible_epoch:0.016344, train/loss/center_epoch:0.008645, epoch:1, step:1758
[2023-02-11 16:12:52,098][cross_view_transformer.tabular_logger][INFO] - lr-AdamW:0.000729, step:1759
[2023-02-11 16:13:00,456][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.011000, train/loss/visible_step:0.010947, train/loss/center_step:0.000530, epoch:1, step:1799
[2023-02-11 16:13:09,713][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.012961, train/loss/visible_step:0.012865, train/loss/center_step:0.000952, epoch:1, step:1849
[2023-02-11 16:13:18,808][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.012107, train/loss/visible_step:0.012021, train/loss/center_step:0.000859, epoch:1, step:1899
[2023-02-11 16:13:27,705][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.008095, train/loss/visible_step:0.008020, train/loss/center_step:0.000749, epoch:1, step:1949
[2023-02-11 16:13:36,592][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.009020, train/loss/visible_step:0.008955, train/loss/center_step:0.000641, epoch:1, step:1999
[2023-02-11 16:13:45,468][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.023176, train/loss/visible_step:0.023017, train/loss/center_step:0.001588, epoch:1, step:2049
[2023-02-11 16:13:54,222][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.006835, train/loss/visible_step:0.006779, train/loss/center_step:0.000562, epoch:1, step:2099
[2023-02-11 16:14:03,064][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.006446, train/loss/visible_step:0.006396, train/loss/center_step:0.000498, epoch:1, step:2149
[2023-02-11 16:14:11,898][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.015440, train/loss/visible_step:0.015358, train/loss/center_step:0.000819, epoch:1, step:2199
[2023-02-11 16:14:20,789][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.017409, train/loss/visible_step:0.017306, train/loss/center_step:0.001028, epoch:1, step:2249
[2023-02-11 16:14:29,699][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.013374, train/loss/visible_step:0.013283, train/loss/center_step:0.000909, epoch:1, step:2299
[2023-02-11 16:14:38,608][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.009331, train/loss/visible_step:0.009258, train/loss/center_step:0.000723, epoch:1, step:2349
[2023-02-11 16:14:47,597][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.006498, train/loss/visible_step:0.006460, train/loss/center_step:0.000379, epoch:1, step:2399
